what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.equinox.p2.core,2.1.1.v20120113-1346,"org.eclipse.equinox.p2.core",1560837579539
started,bundle,org.eclipse.equinox.p2.directorywatcher,1.0.300.v20110815-1419,"org.eclipse.equinox.p2.directorywatcher",1560837579540
started,bundle,org.eclipse.equinox.p2.engine,2.1.1.R37x_v20111003,"org.eclipse.equinox.p2.engine",1560837579541
started,bundle,org.eclipse.equinox.p2.metadata,2.1.0.v20110815-1419,"org.eclipse.equinox.p2.metadata",1560837579542
started,bundle,org.eclipse.equinox.p2.metadata.repository,1.2.0.v20110815-1419,"org.eclipse.equinox.p2.metadata.repository",1560837579543
started,bundle,org.eclipse.equinox.p2.operations,2.1.1.R37x_v20111111,"org.eclipse.equinox.p2.operations",1560837579545
started,bundle,org.eclipse.equinox.p2.reconciler.dropins,1.1.100.v20110815-1419,"org.eclipse.equinox.p2.reconciler.dropins",1560837579547
started,bundle,org.eclipse.equinox.p2.repository,2.1.1.v20120113-1346,"org.eclipse.equinox.p2.repository",1560837579548
started,bundle,org.eclipse.equinox.p2.ui.sdk.scheduler,1.0.100.v20110815-1419,"org.eclipse.equinox.p2.ui.sdk.scheduler",1560837579549
started,bundle,org.eclipse.equinox.p2.updatechecker,1.1.200.v20110815-1419,"org.eclipse.equinox.p2.updatechecker",1560837579550
started,bundle,org.eclipse.equinox.preferences,3.4.2.v20120111-2020,"org.eclipse.equinox.preferences",1560837579551
started,bundle,org.eclipse.equinox.registry,3.5.101.R37x_v20110810-1611,"org.eclipse.equinox.registry",1560837579552
started,bundle,org.eclipse.equinox.security,1.1.1.R37x_v20110822-1018,"org.eclipse.equinox.security",1560837579554
started,bundle,org.eclipse.equinox.util,1.0.300.v20110502,"org.eclipse.equinox.util",1560837579555
started,bundle,org.eclipse.help,3.5.100.v20110426,"org.eclipse.help",1560837579556
started,bundle,org.eclipse.jface,3.7.0.v20110928-1505,"org.eclipse.jface",1560837579557
started,bundle,org.eclipse.jgit,1.3.0.201202151440-r,"org.eclipse.jgit",1560837579558
started,bundle,org.eclipse.jsch.core,1.1.300.I20110514-0800,"org.eclipse.jsch.core",1560837579559
started,bundle,org.eclipse.linuxtools.cdt.autotools.core,1.0.2.201202152032,"org.eclipse.linuxtools.cdt.autotools.core",1560837579561
started,bundle,org.eclipse.ltk.core.refactoring,3.5.201.r372_v20111101-0700,"org.eclipse.ltk.core.refactoring",1560837579562
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring",1560837579564
started,bundle,org.eclipse.mylyn.bugzilla.core,3.6.5.v20120123-0100,"org.eclipse.mylyn.bugzilla.core",1560837579565
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.bugzilla.ui",1560837579566
started,bundle,org.eclipse.mylyn.commons.identity,0.8.0.v20110608-1400,"org.eclipse.mylyn.commons.identity",1560837579568
started,bundle,org.eclipse.mylyn.commons.net,3.6.0.v20110608-1400,"org.eclipse.mylyn.commons.net",1560837579568
started,bundle,org.eclipse.mylyn.commons.ui,3.6.1.v20110720-0100,"org.eclipse.mylyn.commons.ui",1560837579569
started,bundle,org.eclipse.mylyn.context.core,3.6.1.v20110720-0100,"org.eclipse.mylyn.context.core",1560837579570
started,bundle,org.eclipse.mylyn.context.ui,3.6.1.v20120112-0100,"org.eclipse.mylyn.context.ui",1560837579571
started,bundle,org.eclipse.mylyn.monitor.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.monitor.ui",1560837579572
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.5.v20120215-0100,"org.eclipse.mylyn.tasks.ui",1560837579573
started,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1560837579574
started,bundle,org.eclipse.search,3.7.0.v20110928-1504,"org.eclipse.search",1560837579575
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1560837579576
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1560837579577
started,bundle,org.eclipse.team.cvs.ui,3.3.401.v20120126-1227,"org.eclipse.team.cvs.ui",1560837579579
started,bundle,org.eclipse.team.ui,3.6.101.R37x_v20111109-0800,"org.eclipse.team.ui",1560837579580
started,bundle,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui",1560837579582
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1560837579583
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1560837579583
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1560837579585
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1560837579587
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1560837579588
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.resources",1560837579588
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1560837579589
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1560837579590
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1560837579591
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1560837579593
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1560837579595
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1560837579598
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1560837579599
started,bundle,com.altera.sbtgui.integration,13.13.0.132,"com.altera.sbtgui.integration",1560837579600
started,bundle,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch",1560837579601
started,bundle,com.altera.sbtgui.project,13.13.0.132,"com.altera.sbtgui.project",1560837579601
started,bundle,com.altera.systemconsole,13.13.0.132,"com.altera.systemconsole",1560837579602
started,bundle,com.altera.systemconsole.designs.plugin,13.13.0.132,"com.altera.systemconsole.designs.plugin",1560837579603
started,bundle,com.altera.utilities,13.13.0.132,"com.altera.utilities",1560837579604
os,sysinfo,,,"win32",1560837579608
arch,sysinfo,,,"x86",1560837579608
ws,sysinfo,,,"win32",1560837579608
locale,sysinfo,,,"pt_BR",1560837579608
processors,sysinfo,,,"4",1560837579608
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1560837579608
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1560837579608
java.specification.name,sysinfo,,,"Java Platform API Specification",1560837579608
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1560837579608
java.specification.version,sysinfo,,,"1.6",1560837579608
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1560837579608
java.version,sysinfo,,,"1.6.0_23",1560837579608
java.vm.info,sysinfo,,,"mixed mode",1560837579608
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1560837579608
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1560837579608
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1560837579608
java.vm.specification.version,sysinfo,,,"1.0",1560837579608
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1560837579608
java.vm.version,sysinfo,,,"19.0-b09",1560837579608
started,bundle,com.altera.sbtgui.core,13.13.0.132,"com.altera.sbtgui.core",1560837579972
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1560837580039
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1560837580743
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1560837583801
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1560837585755
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1560837635733
started,bundle,org.eclipse.cdt.debug.core,7.1.0.201202111925,"org.eclipse.cdt.debug.core",1560837658397
started,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1560837658402
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1560837664027
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1560837681344
started,bundle,org.eclipse.cdt.launch,7.0.0.201202111925,"org.eclipse.cdt.launch",1560837688741
started,bundle,com.altera.debug.cdi.gdb.plugin,13.13.0.132,"com.altera.debug.cdi.gdb.plugin",1560837701739
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1560837702599
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1560837702838
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1560837709003
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1560837719848
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1560837719903
error,log,,,"No Byte Stream Services found for Nios II Console View",1560837735360
started,bundle,org.eclipse.cdt.debug.mi.ui,6.1.1.201202111925,"org.eclipse.cdt.debug.mi.ui",1560837735615
started,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1560837735630
started,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1560837735631
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1560837735633
started,bundle,org.eclipse.cdt.debug.mi.core,7.1.1.201202111925,"org.eclipse.cdt.debug.mi.core",1560837735649
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --stop, --accept-bad-sysid, --sidp=Not Found] return code: 8",1560837740451
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1560837779573
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1560837887838
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1560837888672
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1560838168543
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1560838170710
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1560838176106
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1560838179893
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1560838180071
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1560838199948
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1560838200990
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1560838211404
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1560838211852
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1560839342711
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1560839346682
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1560839779905
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1560839782086
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1560862889688
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1560862890674
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1560900542502
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1560900544991
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1560903994269
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1560904001692
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1560904124046
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1560904126531
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1560904244095
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1560904247479
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1560904255278
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1560904269646
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1560904270840
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1560904280128
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.TaskList",1560904281636
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.TaskList",1560904281767
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1560904282710
error,log,,,"No Byte Stream Services found for Nios II Console View",1560904287948
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --stop, --accept-bad-sysid, --sidp=Not Found] return code: 8",1560904293358
opened,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.PropertySheet",1560904312294
activated,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.PropertySheet",1560904312380
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1560904314015
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.TaskList",1560904314959
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1560904315623
activated,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.PropertySheet",1560904316416
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1560904320244
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1560905937563
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1560905937722
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1560906309459
started,bundle,org.eclipse.cdt.mylyn.ui,3.6.0.v20110608-1400,"org.eclipse.cdt.mylyn.ui",1560906311628
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1560906311847
stopped,bundle,org.eclipse.cdt.build.crossgcc,1.0.2.201202111925,"org.eclipse.cdt.build.crossgcc",1560906312931
stopped,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1560906312933
stopped,bundle,com.altera.debug.cdi.gdb.plugin,13.13.0.132,"com.altera.debug.cdi.gdb.plugin",1560906312933
stopped,bundle,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch",1560906313935
stopped,bundle,com.altera.sbtgui.ui,13.13.0.132,"com.altera.sbtgui.ui",1560906313938
stopped,bundle,com.altera.sbtgui.project,13.13.0.132,"com.altera.sbtgui.project",1560906313938
stopped,bundle,org.eclipse.cdt.codan.checkers,1.0.1.201202111925,"org.eclipse.cdt.codan.checkers",1560906313938
stopped,bundle,org.eclipse.cdt.codan.ui.cxx,2.0.0.201202111925,"org.eclipse.cdt.codan.ui.cxx",1560906313938
stopped,bundle,org.eclipse.cdt.codan.core.cxx,1.0.0.201202111925,"org.eclipse.cdt.codan.core.cxx",1560906313938
stopped,bundle,org.eclipse.cdt.launch.remote,2.3.0.201202111925,"org.eclipse.cdt.launch.remote",1560906313941
stopped,bundle,org.eclipse.cdt.debug.mi.ui,6.1.1.201202111925,"org.eclipse.cdt.debug.mi.ui",1560906313941
stopped,bundle,org.eclipse.cdt.debug.mi.core,7.1.1.201202111925,"org.eclipse.cdt.debug.mi.core",1560906313941
stopped,bundle,org.eclipse.cdt.debug.ui.memory.memorybrowser,1.2.100.201202111925,"org.eclipse.cdt.debug.ui.memory.memorybrowser",1560906313944
stopped,bundle,org.eclipse.cdt.debug.ui.memory.search,1.2.1.201202111925,"org.eclipse.cdt.debug.ui.memory.search",1560906313948
